"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 12:39:03 GMT 2022","Fri Sep 16 12:39:07 GMT 2022","4227","chromium","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:40:24 GMT 2022","Fri Sep 16 12:40:31 GMT 2022","7151","webkit","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:40:18 GMT 2022","Fri Sep 16 12:40:24 GMT 2022","6140","webkit","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:39:48 GMT 2022","Fri Sep 16 12:39:56 GMT 2022","8209","firefox","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 12:39:36 GMT 2022","Fri Sep 16 12:39:41 GMT 2022","5682","firefox","registration.spec.js","","","","Register with blank form.",""
"passed","Fri Sep 16 12:40:08 GMT 2022","Fri Sep 16 12:40:18 GMT 2022","10132","webkit","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 12:39:56 GMT 2022","Fri Sep 16 12:40:06 GMT 2022","9970","firefox","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:39:12 GMT 2022","Fri Sep 16 12:39:18 GMT 2022","6463","chromium","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 12:40:40 GMT 2022","Fri Sep 16 12:40:49 GMT 2022","9689","webkit","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:39:07 GMT 2022","Fri Sep 16 12:39:12 GMT 2022","4898","chromium","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:39:18 GMT 2022","Fri Sep 16 12:39:25 GMT 2022","7124","chromium","sign-in.spec.js","","","","“Stay logged in” is working",""
"passed","Fri Sep 16 12:39:41 GMT 2022","Fri Sep 16 12:39:48 GMT 2022","6597","firefox","sign-in.spec.js","","","","Sign in with valid credentials.",""
"passed","Fri Sep 16 12:38:56 GMT 2022","Fri Sep 16 12:39:03 GMT 2022","7032","chromium","registration.spec.js","","","","Register with valid random generated credentials.",""
"passed","Fri Sep 16 12:40:31 GMT 2022","Fri Sep 16 12:40:40 GMT 2022","8582","webkit","sign-in.spec.js","","","","Sign in with not valid (random generated) credentials.",""
"passed","Fri Sep 16 12:39:26 GMT 2022","Fri Sep 16 12:39:36 GMT 2022","9361","firefox","registration.spec.js","","","","Register with valid random generated credentials.",""
